Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Bermuda Primavera Algodão,2013-09-01,9,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2013-09-01,52,16,32,Chiffon,Primavera
Calça Primavera Viscose,2013-09-01,35,20,40,Viscose,Primavera
Camisa Primavera Viscose,2013-09-01,9,24,48,Viscose,Primavera
Calça Primavera Linho,2013-09-01,40,22,44,Linho,Primavera
Calça Primavera Viscose,2013-10-01,28,20,40,Viscose,Primavera
Calça Primavera Linho,2013-10-01,54,22,44,Linho,Primavera
Bermuda Primavera Algodão,2013-10-01,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2013-10-01,16,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2013-10-01,14,24,48,Viscose,Primavera
Cropped Primavera Linho,2013-10-01,0,12,24,Linho,Primavera
Saia Primavera Seda,2013-10-01,35,14,28,Seda,Primavera
Short Primavera Algodão,2013-10-01,34,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2013-10-01,26,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2013-10-01,19,30,60,Chiffon,Primavera
Saia Verão Viscose,2013-11-01,0,12,24,Viscose,Verão
Vestido Verão Cetim,2013-11-01,14,30,60,Cetim,Verão
T-shirt Verão Poliéster,2013-11-01,17,8,16,Poliéster,Verão
Short Verão Jeans,2013-11-01,3,16,32,Jeans,Verão
Cropped Verão Algodão,2013-11-01,22,10,20,Algodão,Verão
Camisa Verão Algodão,2013-11-01,39,22,44,Algodão,Verão
Blusa Verão Seda,2013-11-01,84,18,36,Seda,Verão
Bermuda Verão Jeans,2013-11-01,33,15,30,Jeans,Verão
Calça Verão Cetim,2013-11-01,36,25,50,Cetim,Verão
Calça Verão Tactel,2013-11-01,26,20,40,Tactel,Verão
Vestido Verão Cetim,2013-12-01,0,30,60,Cetim,Verão
T-shirt Verão Poliéster,2013-12-01,27,8,16,Poliéster,Verão
Short Verão Jeans,2013-12-01,30,16,32,Jeans,Verão
Saia Verão Viscose,2013-12-01,102,12,24,Viscose,Verão
Cropped Verão Algodão,2013-12-01,23,10,20,Algodão,Verão
Camisa Verão Algodão,2013-12-01,38,22,44,Algodão,Verão
Blusa Verão Seda,2013-12-01,28,18,36,Seda,Verão
Bermuda Verão Jeans,2013-12-01,0,15,30,Jeans,Verão
Calça Verão Cetim,2013-12-01,64,25,50,Cetim,Verão
Calça Verão Tactel,2013-12-01,52,20,40,Tactel,Verão
T-shirt Verão Poliéster,2014-01-01,53,8,16,Poliéster,Verão
Short Verão Jeans,2014-01-01,2,16,32,Jeans,Verão
Saia Verão Viscose,2014-01-01,72,12,24,Viscose,Verão
Vestido Verão Cetim,2014-01-01,0,30,60,Cetim,Verão
Cropped Verão Algodão,2014-01-01,48,10,20,Algodão,Verão
Blusa Verão Seda,2014-01-01,96,18,36,Seda,Verão
Calça Verão Tactel,2014-01-01,1,20,40,Tactel,Verão
Camisa Verão Algodão,2014-01-01,14,22,44,Algodão,Verão
Bermuda Verão Jeans,2014-01-01,34,15,30,Jeans,Verão
Calça Verão Cetim,2014-01-01,16,25,50,Cetim,Verão
Vestido Verão Cetim,2014-02-01,0,30,60,Cetim,Verão
T-shirt Verão Poliéster,2014-02-01,33,8,16,Poliéster,Verão
Short Verão Jeans,2014-02-01,0,16,32,Jeans,Verão
Cropped Verão Algodão,2014-02-01,46,10,20,Algodão,Verão
Saia Verão Viscose,2014-02-01,4,12,24,Viscose,Verão
Blusa Verão Seda,2014-02-01,78,18,36,Seda,Verão
Bermuda Verão Jeans,2014-02-01,8,15,30,Jeans,Verão
Calça Verão Cetim,2014-02-01,22,25,50,Cetim,Verão
Calça Verão Tactel,2014-02-01,57,20,40,Tactel,Verão
Camisa Verão Algodão,2014-02-01,0,22,44,Algodão,Verão
Vestido Outono Lã,2014-03-01,39,28,56,Lã,Outono
T-shirt Outono Algodão,2014-03-01,72,10,20,Algodão,Outono
Short Outono Sarja,2014-03-01,0,18,36,Sarja,Outono
Saia Outono Couro,2014-03-01,38,14,28,Couro,Outono
Cropped Outono Viscose,2014-03-01,41,12,24,Viscose,Outono
Camisa Outono Lã,2014-03-01,57,24,48,Lã,Outono
Bermuda Outono Jeans,2014-03-01,0,18,36,Jeans,Outono
Calça Outono Algodão,2014-03-01,0,20,40,Algodão,Outono
Calça Outono Sarja,2014-03-01,49,22,44,Sarja,Outono
Blusa Outono Tricô,2014-03-01,43,16,32,Tricô,Outono
Vestido Outono Lã,2014-04-01,41,28,56,Lã,Outono
T-shirt Outono Algodão,2014-04-01,44,10,20,Algodão,Outono
Short Outono Sarja,2014-04-01,14,18,36,Sarja,Outono
Saia Outono Couro,2014-04-01,41,14,28,Couro,Outono
Cropped Outono Viscose,2014-04-01,43,12,24,Viscose,Outono
Blusa Outono Tricô,2014-04-01,13,16,32,Tricô,Outono
Bermuda Outono Jeans,2014-04-01,91,18,36,Jeans,Outono
Calça Outono Algodão,2014-04-01,49,20,40,Algodão,Outono
Calça Outono Sarja,2014-04-01,0,22,44,Sarja,Outono
Camisa Outono Lã,2014-04-01,55,24,48,Lã,Outono
Saia Inverno Lã,2014-05-01,6,22,44,Lã,Inverno
Vestido Inverno Lã,2014-05-01,59,32,64,Lã,Inverno
T-shirt Inverno Algodão,2014-05-01,70,12,24,Algodão,Inverno
Short Inverno Moletom,2014-05-01,11,18,36,Moletom,Inverno
Cropped Inverno Algodão,2014-05-01,65,14,28,Algodão,Inverno
Bermuda Inverno Moletom,2014-05-01,49,20,40,Moletom,Inverno
Blusa Inverno Lã,2014-05-01,61,26,52,Lã,Inverno
Calça Inverno Lã,2014-05-01,93,30,60,Lã,Inverno
Camisa Inverno Flanela,2014-05-01,29,24,48,Flanela,Inverno
Calça Inverno Malha,2014-05-01,14,28,56,Malha,Inverno
Calça Inverno Lã,2014-06-01,10,30,60,Lã,Inverno
Calça Inverno Malha,2014-06-01,13,28,56,Malha,Inverno
Bermuda Inverno Moletom,2014-06-01,35,20,40,Moletom,Inverno
Blusa Inverno Lã,2014-06-01,48,26,52,Lã,Inverno
Camisa Inverno Flanela,2014-06-01,46,24,48,Flanela,Inverno
Cropped Inverno Algodão,2014-06-01,62,14,28,Algodão,Inverno
Saia Inverno Lã,2014-06-01,38,22,44,Lã,Inverno
Short Inverno Moletom,2014-06-01,81,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2014-06-01,30,12,24,Algodão,Inverno
Vestido Inverno Lã,2014-06-01,120,32,64,Lã,Inverno
Saia Inverno Lã,2014-07-01,57,22,44,Lã,Inverno
Vestido Inverno Lã,2014-07-01,13,32,64,Lã,Inverno
T-shirt Inverno Algodão,2014-07-01,6,12,24,Algodão,Inverno
Short Inverno Moletom,2014-07-01,53,18,36,Moletom,Inverno
Cropped Inverno Algodão,2014-07-01,32,14,28,Algodão,Inverno
Camisa Inverno Flanela,2014-07-01,60,24,48,Flanela,Inverno
Blusa Inverno Lã,2014-07-01,53,26,52,Lã,Inverno
Bermuda Inverno Moletom,2014-07-01,37,20,40,Moletom,Inverno
Calça Inverno Malha,2014-07-01,14,28,56,Malha,Inverno
Calça Inverno Lã,2014-07-01,0,30,60,Lã,Inverno
Calça Primavera Viscose,2014-08-01,26,20,40,Viscose,Primavera
Calça Primavera Linho,2014-08-01,66,22,44,Linho,Primavera
Bermuda Primavera Algodão,2014-08-01,47,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2014-08-01,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2014-08-01,46,24,48,Viscose,Primavera
Cropped Primavera Linho,2014-08-01,52,12,24,Linho,Primavera
Saia Primavera Seda,2014-08-01,14,14,28,Seda,Primavera
Short Primavera Algodão,2014-08-01,45,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2014-08-01,43,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2014-08-01,7,30,60,Chiffon,Primavera
Short Primavera Algodão,2014-09-01,52,18,36,Algodão,Primavera
Saia Primavera Seda,2014-09-01,58,14,28,Seda,Primavera
Vestido Primavera Chiffon,2014-09-01,74,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2014-09-01,73,10,20,Poliéster,Primavera
Cropped Primavera Linho,2014-09-01,1,12,24,Linho,Primavera
Camisa Primavera Viscose,2014-09-01,14,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2014-09-01,58,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2014-09-01,58,18,36,Algodão,Primavera
Calça Primavera Linho,2014-09-01,58,22,44,Linho,Primavera
Calça Primavera Viscose,2014-09-01,158,20,40,Viscose,Primavera
Vestido Primavera Chiffon,2014-10-01,60,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2014-10-01,77,10,20,Poliéster,Primavera
Short Primavera Algodão,2014-10-01,72,18,36,Algodão,Primavera
Saia Primavera Seda,2014-10-01,63,14,28,Seda,Primavera
Cropped Primavera Linho,2014-10-01,34,12,24,Linho,Primavera
Blusa Primavera Chiffon,2014-10-01,66,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2014-10-01,20,18,36,Algodão,Primavera
Calça Primavera Linho,2014-10-01,37,22,44,Linho,Primavera
Calça Primavera Viscose,2014-10-01,29,20,40,Viscose,Primavera
Camisa Primavera Viscose,2014-10-01,46,24,48,Viscose,Primavera
Saia Verão Viscose,2014-11-01,114,12,24,Viscose,Verão
Vestido Verão Cetim,2014-11-01,0,30,60,Cetim,Verão
T-shirt Verão Poliéster,2014-11-01,65,8,16,Poliéster,Verão
Short Verão Jeans,2014-11-01,0,16,32,Jeans,Verão
Cropped Verão Algodão,2014-11-01,31,10,20,Algodão,Verão
Camisa Verão Algodão,2014-11-01,78,22,44,Algodão,Verão
Blusa Verão Seda,2014-11-01,47,18,36,Seda,Verão
Bermuda Verão Jeans,2014-11-01,13,15,30,Jeans,Verão
Calça Verão Cetim,2014-11-01,24,25,50,Cetim,Verão
Calça Verão Tactel,2014-11-01,66,20,40,Tactel,Verão
Vestido Verão Cetim,2014-12-01,24,30,60,Cetim,Verão
T-shirt Verão Poliéster,2014-12-01,52,8,16,Poliéster,Verão
Short Verão Jeans,2014-12-01,47,16,32,Jeans,Verão
Saia Verão Viscose,2014-12-01,27,12,24,Viscose,Verão
Cropped Verão Algodão,2014-12-01,111,10,20,Algodão,Verão
Camisa Verão Algodão,2014-12-01,65,22,44,Algodão,Verão
Blusa Verão Seda,2014-12-01,0,18,36,Seda,Verão
Bermuda Verão Jeans,2014-12-01,52,15,30,Jeans,Verão
Calça Verão Cetim,2014-12-01,27,25,50,Cetim,Verão
Calça Verão Tactel,2014-12-01,73,20,40,Tactel,Verão
T-shirt Verão Poliéster,2015-01-01,23,8,16,Poliéster,Verão
Short Verão Jeans,2015-01-01,44,16,32,Jeans,Verão
Saia Verão Viscose,2015-01-01,63,12,24,Viscose,Verão
Vestido Verão Cetim,2015-01-01,74,30,60,Cetim,Verão
Cropped Verão Algodão,2015-01-01,12,10,20,Algodão,Verão
Blusa Verão Seda,2015-01-01,38,18,36,Seda,Verão
Calça Verão Tactel,2015-01-01,34,20,40,Tactel,Verão
Camisa Verão Algodão,2015-01-01,29,22,44,Algodão,Verão
Bermuda Verão Jeans,2015-01-01,101,15,30,Jeans,Verão
Calça Verão Cetim,2015-01-01,61,25,50,Cetim,Verão
Calça Verão Tactel,2015-02-01,11,20,40,Tactel,Verão
Calça Verão Cetim,2015-02-01,76,25,50,Cetim,Verão
Bermuda Verão Jeans,2015-02-01,113,15,30,Jeans,Verão
Blusa Verão Seda,2015-02-01,80,18,36,Seda,Verão
Camisa Verão Algodão,2015-02-01,4,22,44,Algodão,Verão
Cropped Verão Algodão,2015-02-01,35,10,20,Algodão,Verão
Saia Verão Viscose,2015-02-01,87,12,24,Viscose,Verão
Short Verão Jeans,2015-02-01,28,16,32,Jeans,Verão
T-shirt Verão Poliéster,2015-02-01,63,8,16,Poliéster,Verão
Vestido Verão Cetim,2015-02-01,73,30,60,Cetim,Verão
Vestido Outono Lã,2015-03-01,22,28,56,Lã,Outono
T-shirt Outono Algodão,2015-03-01,48,10,20,Algodão,Outono
Short Outono Sarja,2015-03-01,0,18,36,Sarja,Outono
Cropped Outono Viscose,2015-03-01,20,12,24,Viscose,Outono
Saia Outono Couro,2015-03-01,43,14,28,Couro,Outono
Blusa Outono Tricô,2015-03-01,13,16,32,Tricô,Outono
Calça Outono Sarja,2015-03-01,100,22,44,Sarja,Outono
Camisa Outono Lã,2015-03-01,8,24,48,Lã,Outono
Bermuda Outono Jeans,2015-03-01,38,18,36,Jeans,Outono
Calça Outono Algodão,2015-03-01,55,20,40,Algodão,Outono
Vestido Outono Lã,2015-04-01,95,28,56,Lã,Outono
T-shirt Outono Algodão,2015-04-01,9,10,20,Algodão,Outono
Short Outono Sarja,2015-04-01,87,18,36,Sarja,Outono
Cropped Outono Viscose,2015-04-01,52,12,24,Viscose,Outono
Saia Outono Couro,2015-04-01,23,14,28,Couro,Outono
Blusa Outono Tricô,2015-04-01,66,16,32,Tricô,Outono
Bermuda Outono Jeans,2015-04-01,58,18,36,Jeans,Outono
Calça Outono Algodão,2015-04-01,35,20,40,Algodão,Outono
Calça Outono Sarja,2015-04-01,55,22,44,Sarja,Outono
Camisa Outono Lã,2015-04-01,41,24,48,Lã,Outono
Vestido Inverno Lã,2015-05-01,56,32,64,Lã,Inverno
T-shirt Inverno Algodão,2015-05-01,73,12,24,Algodão,Inverno
Short Inverno Moletom,2015-05-01,101,18,36,Moletom,Inverno
Saia Inverno Lã,2015-05-01,16,22,44,Lã,Inverno
Cropped Inverno Algodão,2015-05-01,118,14,28,Algodão,Inverno
Camisa Inverno Flanela,2015-05-01,0,24,48,Flanela,Inverno
Bermuda Inverno Moletom,2015-05-01,49,20,40,Moletom,Inverno
Calça Inverno Lã,2015-05-01,72,30,60,Lã,Inverno
Blusa Inverno Lã,2015-05-01,63,26,52,Lã,Inverno
Calça Inverno Malha,2015-05-01,36,28,56,Malha,Inverno
Calça Inverno Lã,2015-06-01,48,30,60,Lã,Inverno
Calça Inverno Malha,2015-06-01,40,28,56,Malha,Inverno
Bermuda Inverno Moletom,2015-06-01,37,20,40,Moletom,Inverno
Blusa Inverno Lã,2015-06-01,80,26,52,Lã,Inverno
Cropped Inverno Algodão,2015-06-01,66,14,28,Algodão,Inverno
Saia Inverno Lã,2015-06-01,34,22,44,Lã,Inverno
Short Inverno Moletom,2015-06-01,82,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2015-06-01,65,12,24,Algodão,Inverno
Vestido Inverno Lã,2015-06-01,80,32,64,Lã,Inverno
Camisa Inverno Flanela,2015-06-01,75,24,48,Flanela,Inverno
Vestido Inverno Lã,2015-07-01,31,32,64,Lã,Inverno
Saia Inverno Lã,2015-07-01,39,22,44,Lã,Inverno
T-shirt Inverno Algodão,2015-07-01,79,12,24,Algodão,Inverno
Short Inverno Moletom,2015-07-01,75,18,36,Moletom,Inverno
Cropped Inverno Algodão,2015-07-01,56,14,28,Algodão,Inverno
Blusa Inverno Lã,2015-07-01,60,26,52,Lã,Inverno
Bermuda Inverno Moletom,2015-07-01,95,20,40,Moletom,Inverno
Calça Inverno Malha,2015-07-01,39,28,56,Malha,Inverno
Calça Inverno Lã,2015-07-01,73,30,60,Lã,Inverno
Camisa Inverno Flanela,2015-07-01,51,24,48,Flanela,Inverno
Vestido Primavera Chiffon,2015-08-01,51,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2015-08-01,90,10,20,Poliéster,Primavera
Short Primavera Algodão,2015-08-01,82,18,36,Algodão,Primavera
Saia Primavera Seda,2015-08-01,82,14,28,Seda,Primavera
Cropped Primavera Linho,2015-08-01,97,12,24,Linho,Primavera
Camisa Primavera Viscose,2015-08-01,59,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2015-08-01,79,18,36,Algodão,Primavera
Calça Primavera Linho,2015-08-01,49,22,44,Linho,Primavera
Calça Primavera Viscose,2015-08-01,68,20,40,Viscose,Primavera
Blusa Primavera Chiffon,2015-08-01,55,16,32,Chiffon,Primavera
Saia Primavera Seda,2015-09-01,62,14,28,Seda,Primavera
Vestido Primavera Chiffon,2015-09-01,77,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2015-09-01,35,10,20,Poliéster,Primavera
Short Primavera Algodão,2015-09-01,122,18,36,Algodão,Primavera
Cropped Primavera Linho,2015-09-01,29,12,24,Linho,Primavera
Calça Primavera Linho,2015-09-01,23,22,44,Linho,Primavera
Blusa Primavera Chiffon,2015-09-01,94,16,32,Chiffon,Primavera
Calça Primavera Viscose,2015-09-01,84,20,40,Viscose,Primavera
Camisa Primavera Viscose,2015-09-01,79,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2015-09-01,79,18,36,Algodão,Primavera
Calça Primavera Viscose,2015-10-01,60,20,40,Viscose,Primavera
Calça Primavera Linho,2015-10-01,33,22,44,Linho,Primavera
Bermuda Primavera Algodão,2015-10-01,63,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2015-10-01,40,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2015-10-01,90,24,48,Viscose,Primavera
Cropped Primavera Linho,2015-10-01,57,12,24,Linho,Primavera
Saia Primavera Seda,2015-10-01,36,14,28,Seda,Primavera
Short Primavera Algodão,2015-10-01,52,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2015-10-01,74,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2015-10-01,45,30,60,Chiffon,Primavera
Vestido Verão Cetim,2015-11-01,37,30,60,Cetim,Verão
T-shirt Verão Poliéster,2015-11-01,69,8,16,Poliéster,Verão
Short Verão Jeans,2015-11-01,69,16,32,Jeans,Verão
Cropped Verão Algodão,2015-11-01,47,10,20,Algodão,Verão
Saia Verão Viscose,2015-11-01,48,12,24,Viscose,Verão
Blusa Verão Seda,2015-11-01,69,18,36,Seda,Verão
Bermuda Verão Jeans,2015-11-01,19,15,30,Jeans,Verão
Calça Verão Cetim,2015-11-01,21,25,50,Cetim,Verão
Calça Verão Tactel,2015-11-01,41,20,40,Tactel,Verão
Camisa Verão Algodão,2015-11-01,57,22,44,Algodão,Verão
Vestido Verão Cetim,2015-12-01,73,30,60,Cetim,Verão
T-shirt Verão Poliéster,2015-12-01,108,8,16,Poliéster,Verão
Short Verão Jeans,2015-12-01,89,16,32,Jeans,Verão
Saia Verão Viscose,2015-12-01,59,12,24,Viscose,Verão
Cropped Verão Algodão,2015-12-01,63,10,20,Algodão,Verão
Camisa Verão Algodão,2015-12-01,34,22,44,Algodão,Verão
Bermuda Verão Jeans,2015-12-01,64,15,30,Jeans,Verão
Calça Verão Cetim,2015-12-01,56,25,50,Cetim,Verão
Calça Verão Tactel,2015-12-01,74,20,40,Tactel,Verão
Blusa Verão Seda,2015-12-01,40,18,36,Seda,Verão
Short Verão Jeans,2016-01-01,80,16,32,Jeans,Verão
Vestido Verão Cetim,2016-01-01,111,30,60,Cetim,Verão
T-shirt Verão Poliéster,2016-01-01,62,8,16,Poliéster,Verão
Cropped Verão Algodão,2016-01-01,77,10,20,Algodão,Verão
Saia Verão Viscose,2016-01-01,86,12,24,Viscose,Verão
Blusa Verão Seda,2016-01-01,53,18,36,Seda,Verão
Calça Verão Tactel,2016-01-01,72,20,40,Tactel,Verão
Calça Verão Cetim,2016-01-01,66,25,50,Cetim,Verão
Camisa Verão Algodão,2016-01-01,69,22,44,Algodão,Verão
Bermuda Verão Jeans,2016-01-01,43,15,30,Jeans,Verão
Calça Verão Tactel,2016-02-01,67,20,40,Tactel,Verão
Calça Verão Cetim,2016-02-01,81,25,50,Cetim,Verão
Bermuda Verão Jeans,2016-02-01,110,15,30,Jeans,Verão
Blusa Verão Seda,2016-02-01,95,18,36,Seda,Verão
Cropped Verão Algodão,2016-02-01,131,10,20,Algodão,Verão
Saia Verão Viscose,2016-02-01,44,12,24,Viscose,Verão
Short Verão Jeans,2016-02-01,93,16,32,Jeans,Verão
T-shirt Verão Poliéster,2016-02-01,73,8,16,Poliéster,Verão
Vestido Verão Cetim,2016-02-01,133,30,60,Cetim,Verão
Camisa Verão Algodão,2016-02-01,43,22,44,Algodão,Verão
Vestido Outono Lã,2016-03-01,42,28,56,Lã,Outono
Cropped Outono Viscose,2016-03-01,50,12,24,Viscose,Outono
T-shirt Outono Algodão,2016-03-01,4,10,20,Algodão,Outono
Short Outono Sarja,2016-03-01,52,18,36,Sarja,Outono
Saia Outono Couro,2016-03-01,45,14,28,Couro,Outono
Camisa Outono Lã,2016-03-01,73,24,48,Lã,Outono
Bermuda Outono Jeans,2016-03-01,79,18,36,Jeans,Outono
Calça Outono Algodão,2016-03-01,125,20,40,Algodão,Outono
Calça Outono Sarja,2016-03-01,97,22,44,Sarja,Outono
Blusa Outono Tricô,2016-03-01,52,16,32,Tricô,Outono
Vestido Outono Lã,2016-04-01,42,28,56,Lã,Outono
T-shirt Outono Algodão,2016-04-01,84,10,20,Algodão,Outono
Short Outono Sarja,2016-04-01,30,18,36,Sarja,Outono
Saia Outono Couro,2016-04-01,124,14,28,Couro,Outono
Cropped Outono Viscose,2016-04-01,105,12,24,Viscose,Outono
Camisa Outono Lã,2016-04-01,56,24,48,Lã,Outono
Bermuda Outono Jeans,2016-04-01,19,18,36,Jeans,Outono
Calça Outono Algodão,2016-04-01,111,20,40,Algodão,Outono
Calça Outono Sarja,2016-04-01,67,22,44,Sarja,Outono
Blusa Outono Tricô,2016-04-01,107,16,32,Tricô,Outono
Short Inverno Moletom,2016-05-01,23,18,36,Moletom,Inverno
Vestido Inverno Lã,2016-05-01,53,32,64,Lã,Inverno
T-shirt Inverno Algodão,2016-05-01,71,12,24,Algodão,Inverno
Camisa Inverno Flanela,2016-05-01,72,24,48,Flanela,Inverno
Saia Inverno Lã,2016-05-01,58,22,44,Lã,Inverno
Cropped Inverno Algodão,2016-05-01,90,14,28,Algodão,Inverno
